doc_id,image_url
114,https://i1-dulich.vnecdn.net/2020/07/08/106243516303337174039491695334-3625-3044-1594207058.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ywZy_dEcma83kJq5PDK82g
115,https://s1.vnecdn.net/vnexpress/restruct/i/v9756/logo_default.jpg
116,https://i1-dulich.vnecdn.net/2025/03/09/thackem2-1741497134-1741497212-1855-1741498170.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=GizmZemJ0294BILblf6FKg
117,https://i1-dulich.vnecdn.net/2024/11/23/bm1-1732345796-1732345811-5902-1732346723.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=dg62KE9ldv0uPdW3Mj0wQA
118,https://i1-dulich.vnecdn.net/2024/08/21/cp3-1724231418-1724231443-7559-1724231544.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=A3-1FSfso6WYsAqZufOjgw
119,https://i1-dulich.vnecdn.net/2024/08/06/bausau1-1722937873-1722937893-2481-1722937928.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ixLV9hTBTAbrXS4enFCQyw
120,https://i1-dulich.vnecdn.net/2024/01/08/traon-1704708267-1704708276-5549-1704708439.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Wtz0jAT3uK0itf4Fxo2lFQ
121,https://i1-dulich.vnecdn.net/2023/08/03/lanha1-1691053204-1691053212-8248-1691053870.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=qUieFNZs6XykUmzgeXrF7Q
122,https://i1-dulich.vnecdn.net/2023/07/12/hl1-1689130193-1689130212-5586-1689130358.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=JDE3nuzFT6QKZqQ73hmZug
123,https://i1-dulich.vnecdn.net/2022/06/17/bienvungtau-1655459711-1655459-7127-3875-1655460215.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=L5M0wBngxjuv0TV6lsu-4Q
124,https://i1-dulich.vnecdn.net/2022/05/11/thienvientruclamtaythientamdao-4160-7632-1652267408.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=PGiN5qtEkjHzNFjiFAs_fQ
125,https://i1-dulich.vnecdn.net/2024/10/25/y-ty3-2103-1729770303-17297790-3512-3122-1729817341.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=IfdW-4kGSLQmYY-yT0ED-Q
126,https://i1-dulich.vnecdn.net/2024/01/19/MuCangChai0122jpeg805516505431-3578-2069-1705658505.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=E6B3BEmtV-njcfb0QnJI3Q
127,https://i1-dulich.vnecdn.net/2023/08/08/ad14ee4accfb1fa546ea-169148971-2126-6507-1691489818.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=FvvNNGsh2kKMoucS4uaXTA
128,https://upload.wikimedia.org/wikipedia/commons/6/6f/Du_kh%C3%A1ch_vi%E1%BA%BFng_th%C4%83m_L%E1%BA%A7u_Ng%C5%A9_Ph%E1%BB%A5ng.JPG
129,https://upload.wikimedia.org/wikipedia/commons/f/f3/PhoCoHoiAn.jpg
130,
131,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/08/pho-co-hoi-an-e1504760193217.jpg
132,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/V%E1%BB%8Bnh_H%E1%BA%A1_Long_-_NKS.jpg/1200px-V%E1%BB%8Bnh_H%E1%BA%A1_Long_-_NKS.jpg
133,"https://ik.imagekit.io/tvlk/blog/2022/10/kinh-nghiem-du-lich-vinh-ha-long-cover.jpeg?tr=dpr-1.5,h-320,q-40,w-1024"
134,https://upload.wikimedia.org/wikipedia/commons/0/08/Muaxuantamcoc.jpg
135,https://mia.vn/media/uploads/blog-du-lich/an-tuong-ve-dep-hung-vi-noi-quan-the-danh-thang-trang-an-1640246787.jpg
136,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg/1200px-2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg
137,"https://ik.imagekit.io/tvlk/blog/2025/01/thanh-dia-my-son-desktop.png?tr=dpr-1.5,h-320,q-40,w-1024"
138,https://upload.wikimedia.org/wikipedia/commons/d/de/C%C3%A1p-treo-fansipan-17.jpg
139,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/%C4%90%E1%BB%93ng_c%E1%BB%8F_v%C3%A0_chim_n%C6%B0%E1%BB%9Bc.jpg/1200px-%C4%90%E1%BB%93ng_c%E1%BB%8F_v%C3%A0_chim_n%C6%B0%E1%BB%9Bc.jpg
140,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Phongnhakebang6.jpg/1200px-Phongnhakebang6.jpg
