document,total_words,unique_words,top_words
313.txt,1765,737,"chùa, kdt, di_tích, đền, đình, yên_tử, quảng_ninh, quốc_gia, danh_thắng, hồ"
314.txt,685,443,"nhà_thờ, đức_bà, tp, hcm, sài_gòn, công_trình, chuông, kiến_trúc, tòa, chiều"
316.txt,1023,494,"dinh, độc_lập, khu, ảnh, tham_quan, xây_dựng, phòng, kiến_trúc_sư, chữ, lịch_sử"
317.txt,1855,672,"dinh, độc_lập, vnd, tham_quan, lịch_sử, khách_sạn, sài_gòn, phút, du_khách, kiến_trúc"
318.txt,1467,603,"chợ, bến_thành, quán, chè, giá, thành_phố, món, đường, ảnh, nằm"
319.txt,2463,762,"chợ, vinwonders, sài_gòn, bến_thành, phú_quốc, grand, công_viên, park, khu, du_khách"
32.txt,1431,685,"hoa, du_khách, sen, đồng_tháp, làng, mùa, sa_đéc, đồng, chùa, du_lịch"
320.txt,1632,595,"tour, bến, nhà_rồng, đêm, sài_gòn, du_lịch, cần_thơ, cảng, đi, miền"
321.txt,617,314,"nhà_rồng, bến, du_lịch, thành_phố, hồ_chí_minh, bảo_tàng, lịch_sử, di_tích, tham_quan, mia"
322.txt,685,361,"du_lịch, tour, khởi_hành, đẹp, trải, núi, du_khách, nghiệm, cá, hồ"
323.txt,858,368,"thác_mơ, bình_phước, hồ, đi, tour, núi, trekking, trải, du_lịch, đường"
324.txt,838,431,"vườn, quốc_gia, u_minh_hạ, rừng, cà_mau, loài, du_lịch, mùa, khám_phá, đi"
325.txt,939,441,"u_minh_hạ, rừng, du_lịch, cà_mau, khám_phá, đi, vườn_quốc_gia, cá, lươn, món"
326.txt,820,423,"núi, bà_rá, du_lịch, đi, kinh_nghiệm, miếu, bình_phước, mia, rừng, leo"
327.txt,673,320,"du_lịch, núi, tour, miền, bà_rá, liên_tuyến, hồ, làng_nghề, truyền_thống, hà_nội"
328.txt,970,328,"du_lịch, tour, châu, thác, miền, nước_ngoài, vé, bắc, đá, âu"
329.txt,699,384,"thác, đứng, đẹp, du_lịch, mùa, bù_đăng, bình_phước, tour, nét, đi"
33.txt,1977,887,"đăk, nông, thác, du_lịch, huyện, rừng, tà_đùng, thành_phố, gia_nghĩa, núi_lửa"
330.txt,623,287,"du_lịch, suối, khu, vé, bestprice, tour, mơ, triệu, hoa, mã"
331.txt,1554,504,"du_lịch, suối, khu, tour, mơ, châu, đồng_nai, đi, miền, vé"
333.txt,1774,716,"du_lịch, tây_ninh, ẩm_thực, tòa_thánh, đạo, miền, kiến_trúc, hà_nội, du_khách, đà_nẵng"
334.txt,527,247,"rừng, tràm, trà_sư, du_lịch, khu, loài, thực_vật, đa_dạng, hệ, động"
335.txt,699,252,"trà_sư, rừng, tràm, loài, chim, tour, khám_phá, đẹp, du_khách, động_vật"
337.txt,974,482,"tình_yêu, thung_lũng, đà_lạt, hoa, đẹp, khu, trải, nghiệm, hồ, ảnh"
338.txt,1048,242,"du_lịch, tour, kinh_nghiệm, cẩm_nang, hà_giang, danh_nam, tô, nam, lịch, khởi_hành"
339.txt,1019,398,"du_lịch, khách_sạn, thành, cổ, quảng_trị, đà_lạt, ivivu, cẩm_nang, hà_nội, vũng_tàu"
34.txt,1575,745,"đồng_văn, hà_giang, đi, đá, đường, du_khách, đồng, bắc, nằm, đẹp"
340.txt,2697,695,"vinwonders, biển, phú_quốc, quy_nhơn, vé, bãi, vinpearl, grand, nha_trang, safari"
341.txt,1265,495,"biển, quy_nhơn, bãi, đẹp, bình_định, thành_phố, du_lịch, xanh, tour, trải"
342.txt,3802,808,"vinwonders, vé, phú_quốc, cà_ná, biển, vinpearl, cửa, grand, combo, safari"
343.txt,964,389,"biển, cà_ná, du_lịch, di_chuyển, đẹp, phan_rang, ninh_thuận, địa_điểm, đi, resort"
344.txt,1048,403,"du_lịch, khách_sạn, gốm, làng, bàu_trúc, đà_lạt, ivivu, hà_nội, vũng_tàu, cẩm_nang"
345.txt,727,351,"gốm, làng, bàu_trúc, sản_phẩm, du_khách, du_lịch, ninh_thuận, sưu_tầm, nét, nung"
346.txt,760,385,"thác, tình, tác, lai_châu, traveloka, dòng_chảy, đẹp, nàng, đi, dòng"
